PUNTO (1),,
x,y,z
1943.605,2686.173,132.049
1945.605,2686.127,132.036
1949.554,2686.038,132.01
1953.503,2685.954,131.985
1957.452,2685.874,131.961
1961.401,2685.799,131.937
1965.351,2685.728,131.915
1969.3,2685.662,131.892
1973.25,2685.6,131.87
1977.199,2685.542,131.849
1981.149,2685.488,131.829
1985.099,2685.44,131.81
1986.099,2685.428,131.805
1987.598,2685.411,131.798
